filename	Poshen Ground Truth
image_2037.jpg	J0J0*J1J0J2J0J0J3J0J0J0J0J0J6J0J1J0J0*J3
image_5569	J0J0*J0*J0*J0*J0*J1J0J0*J0*J1J1*J0J0*J0*J1*J0J0*J1*J0J0*J1*J0J1J1*J0J0*J1*J0J0*J1*J0J0*j1*J0J0*J1*J0J1*J0J1*J0J1*J0*J0*J1J0J1*J1
image_8417	J0J0*J0*J0*J0*J0J0*J1*J0*J0J0*J0*J0J2*J0J0J0J1J1J4J0J0J0*J3J0J0*J0*J0*J0*J0*J0*J0*J1J1J0J0J2J0*J1J3J0J0J3
image_8573	J0J1J1J0J0J0J1J0J0J6
PMC1182362_1471-2148-5-38-3.jpg	J0J0*J1J0J2J0J1J2J0J1J1J1J1J0J3J0J1J1J0J2J0J2J2J1J1J0J1J2J0J1J1J1J1J0J1J1J1J2J2J0J2J0J1J1J2J0J1J0J3J1J0J1J1J0*J1J1J0J1J1J3J1J1
PMC1183519_pcbi.0010013.g001.jpg	J0J1J1J1J1J1J0J2J1J0J1J2
PMC1326215_1471-2148-5-71-6.jpg	J0J1J1J0J1J2J0J1J1J1J0J1J0J2J3J0J2J0J1J2J0J1J1J2J1J0J1J2J0*J1
PMC1435931_1471-2148-6-18-3.jpg	J0J1J0J0J1J0J0J2J0J0J2J0J2J0J1J0J1J0J0J0J1J0J4J0J0J9*J0J0J0J3J0J0J0J2J0J0J0J7
PMC1435932_1471-2148-6-26-5.jpg	J0J1J0J2J0J1*J0J0J1J0J0J4J0J0J0J3J0J0J2J0J3J0J0J2J0J1J0J3J0J0J0J3J0J0J0J4J0J1J0J0J0J9
PMC1450269_1471-213X-6-13-2.jpg	J0J1J0J0J0J3J1J0J0J3*J0J1J2
PMC1474148_ijbsv02p0133g05.jpg	J0J1J0*J0J0*J0J3
PMC1475587_1471-2091-7-14-2.jpg	J0J0J2J0J1J0J3J0J1J1J0J0J4J0J0J3J1J0J1J0J0J0J3J0J0J3J0J0J3J0J4J0J0J2*J0J0J2J0J0J2J0J0J4J0J0J3J0J0J3J0J0J3J0J0J0J5
PMC1500873_gkl433f4.jpg	J0J0J0J0J0J0J1J0J7J0J0J0J0J5J0J0J1J0J2J0J2J0J0J0J0J3J0J3J0J4J0J1J0J0J2J0J5
PMC1578565_1471-2180-6-77-1.jpg	J0J0*J0*J0*J1J1J0J1J2J0J1J1J0J1J2J1J0J1J1J0J2J1J3J0J0J1*J1J1J0*J1J0J2*J1
PMC1609170_1471-2180-6-88-1.jpg	J0J0*J0*J0*J0*J0*J0*J0*J0*J0J0J0*J2*J0*J1J0*J1J0*J0J1J0J2*J0*J1J1J1J1J0*J1J1J0J1J1J0J0J0J0J0*J0*J0*J0J1J0*J0J8J0J2
PMC1660551_1471-2148-6-95-3.jpg	J0J0J1*J0J1J1J1J0J0J1J0J1*J0J1J0J2J0J1J2J1J1*J0*J1J0J0J0J0J0J0J0J0J0*J5J0J1J0J1J0*J1J3J0J2J0J2J0J2J0J0J4J0J0J0J0J0*J2J0J2J0J0J0J0J0J1J0J0J3J0J0J0J4J,J,J,J,J1J0J0*J3J0J3J0J2J0J2J0J0J0J1J17
PMC1665464_1471-2148-6-101-4.jpg	J0J0J2J0J1J1J2J0J1J0J3J0J1J1J0J1J0J1J1J4J0J1J1J1J1J2J0J1J0J1J1J1J2J1J1J0J3
PMC1829167_1471-2105-8-73-9.jpg	J0J0J0J3J1J0J1J1J0J0J0J1J0J1J0J2J0J7
PMC184354_1471-2148-3-16-2.jpg	J0J1J1J1J0*J0*J0*J0J1J1J2J0J1J1J1J0J2J1J2J1J1
PMC184354_1471-2148-3-16-7.jpg	J0J1J1J0J1J2J0J2J0J1J0J2J1J0J1J3J0J1J0J1J0J2J3J0*J1J0J2J1
PMC1887533_1471-2148-7-71-1.jpg	J0J0*J1J1J0*J0J2J0J2J1J0J1J1J2J1J0J1J0J2J0J2J1J1J2
PMC1894977_1471-2164-8-137-3.jpg	J0J1J1J1J0J2J1J1J0J2J0J1J2J0J2J1
PMC1913517_1471-2180-7-58-1.jpg	J0J1J0J2J0J0J1J0J0*J0*J0*J0*J3J0J0J1J0J3J0J1J0J0J0*J0*J5J0J1J0J1J0J3J0J0J0J0*J0*J3J0J0J0*J0*J2J0J0*J6
PMC1925062_1471-2148-7-93-7.jpg	J0J0J2J0J1J0J1*J0J1J1J0J2J0J1J0J1*J0J0J0J3*J0J1J0J2*J0J0*J0J2J0J0J2*J0J2J0J1J1J0J0J0*J8
PMC193617_gb-2003-4-6-r38-4.jpg	J0J0J1J1J1J0J0J0J4J0J0J1J0J0J6J0J1J1J0J1J0J0J1J0J6J0J1J0J3J0J0J3J0J1J1J1J1J0J1J1J0J1J1J0J0J1J0J0J8J0J2
PMC1941728_1471-2148-7-108-3.jpg	J0J0*J0J0J0J0J2J0J0J1J0J4J0J1J0J1J0J2J0J1J0J1J0J4J0J0*J0J0J3J0J0J0J0J0J5J0J0J2J0J0J2J0J0J12
PMC1978502_1471-2148-7-139-2.jpg	J0J1J1J0J2J0*J1J1J1J0J2J1J0J1J1J1J1J1J0*J1J1J1J2J0J1J1J1J0J1J2J0J1J3J0J1J1J0J2J0J1J2J0J3J0J1J1J0J2J0J1J2J0J2J0J0*J1J1J0J1J2J3J0J1J1J1J0J1J3J0J1J1J1J2J0J1J1J2J0J1J2
PMC2172325_200309134f2.jpg	J0J1J0*J0J0J2*J0J0J2*J0J1*J0J0J3J0*J0*J0J0J2*J0*J0J2J0J1J0*J0J0J2J0J2J0J2*J0*J0J1J0J2*J0*J0J1*J0J1*J0*J0J0J2*J2
PMC2174949_1471-213X-7-118-3.jpg	J0J0J2J0J0J0J3*J0J0J0J0J1J0J0J0J0J0J0J1J0J10J0J0J3J0J2J0J0J1J0J0J0J0J3J0J1J0J2J0J1J0J0J6J0J1J0J1J0J0J3J0J1J0J1J0J0J2J0J0J1J0J0J0J0J4J0J0J0J10J0J0J0J2J0J2J0J0J12
PMC2194722_1471-2148-7-200-3.jpg	J0J1J0J2J0J2J0J1J1J1J0J3J0J1J1J0J3J0J1J1J0J3J0J1J0J0J3J2J1
PMC2194727_1471-2164-8-343-6.jpg	J0J1J1J1J0J2J1J0J1J2J0J2J0J2J1J0J2J0J2J0J1J0J2J1J0J1J0J3J0J3J1J0J1*J1
